q,r,tile_type
13,4,FARMLAND
14,4,FOREST
15,4,FOREST
16,4,FOREST
17,4,MOUNTAIN
18,4,MOUNTAIN
19,4,MOUNTAIN
0,5,MOUNTAIN
1,5,MOUNTAIN
2,5,MOUNTAIN
3,5,MOUNTAIN
4,5,FOREST
5,5,FOREST
6,5,FOREST
7,5,FOREST
8,5,FARMLAND
9,5,FARMLAND
10,5,FARMLAND
11,5,FARMLAND
12,5,FARMLAND
13,5,FARMLAND
14,5,FOREST
15,5,FOREST
16,5,FOREST
17,5,MOUNTAIN
18,5,MOUNTAIN
19,5,MOUNTAIN
0,6,HILL
1,6,HILL
2,6,GRASSLAND
3,6,GRASSLAND
4,6,GRASSLAND
5,6,GRASSLAND
6,6,FARMLAND
7,6,FARMLAND
8,6,FARMLAND
9,6,FARMLAND
10,6,MOUNTAIN
11,6,MOUNTAIN
12,6,HILL
13,6,HILL
14,6,HILL
15,6,OCEAN
16,6,OCEAN
17,6,OCEAN
18,6,OCEAN
19,6,OCEAN
0,7,HILL
1,7,HILL
2,7,GRASSLAND
3,7,GRASSLAND
4,7,GRASSLAND
5,7,GRASSLAND
6,7,FARMLAND
7,7,FARMLAND
8,7,FARMLAND
9,7,FARMLAND
10,7,MOUNTAIN
11,7,MOUNTAIN
12,7,HILL
13,7,HILL
14,7,HILL
15,7,OCEAN
16,7,OCEAN
17,7,OCEAN
18,7,OCEAN
19,7,OCEAN
0,8,HILL
1,8,HILL
2,8,FARMLAND
3,8,FARMLAND
4,8,FARMLAND
5,8,FARMLAND
6,8,COASTAL_WATER
7,8,COASTAL_WATER
8,8,COASTAL_WATER
9,8,COASTAL_WATER
10,8,MOUNTAIN
11,8,MOUNTAIN
12,8,HILL
13,8,HILL
14,8,HILL
15,8,OCEAN
16,8,OCEAN
17,8,OCEAN
18,8,OCEAN
19,8,OCEAN
0,9,HILL
1,9,HILL
2,9,FARMLAND
3,9,FARMLAND
4,9,FARMLAND
5,9,FARMLAND
6,9,COASTAL_WATER
7,9,COASTAL_WATER
8,9,COASTAL_WATER
9,9,COASTAL_WATER
10,9,MOUNTAIN
11,9,MOUNTAIN
12,9,HILL
13,9,GRASSLAND
14,9,GRASSLAND
15,9,COASTAL_WATER
16,9,OCEAN
17,9,OCEAN
18,9,OCEAN
19,9,OCEAN
0,10,HILL
1,10,HILL
2,10,FARMLAND
3,10,FARMLAND
4,10,FARMLAND
5,10,FARMLAND
6,10,COASTAL_WATER
7,10,COASTAL_WATER
8,10,COASTAL_WATER
9,10,COASTAL_WATER
10,10,MOUNTAIN
11,10,MOUNTAIN
12,10,HILL
13,10,GRASSLAND
14,10,GRASSLAND
15,10,COASTAL_WATER
16,10,OCEAN
17,10,OCEAN
18,10,OCEAN
19,10,OCEAN
0,11,FARMLAND
1,11,FARMLAND
2,11,COASTAL_WATER
3,11,OCEAN
4,11,OCEAN
5,11,OCEAN
6,11,OCEAN
7,11,MOUNTAIN
8,11,MOUNTAIN
9,11,HILL
10,11,HILL
11,11,FARMLAND
12,11,COASTAL_WATER
13,11,COASTAL_WATER
14,11,COASTAL_WATER
15,11,OCEAN
16,11,OCEAN
17,11,OCEAN
18,11,OCEAN
19,11,OCEAN
0,12,FARMLAND
1,12,COASTAL_WATER
2,12,COASTAL_WATER
3,12,OCEAN
4,12,OCEAN
5,12,OCEAN
6,12,OCEAN
7,12,MOUNTAIN
8,12,MOUNTAIN
9,12,HILL
10,12,HILL
11,12,FARMLAND
12,12,COASTAL_WATER
13,12,COASTAL_WATER
14,12,COASTAL_WATER
15,12,OCEAN
16,12,OCEAN
17,12,OCEAN
18,12,OCEAN
19,12,OCEAN
0,13,COASTAL_WATER
1,13,FARMLAND
2,13,COASTAL_WATER
3,13,OCEAN
4,13,OCEAN
5,13,OCEAN
6,13,OCEAN
7,13,MOUNTAIN
8,13,MOUNTAIN
9,13,HILL
10,13,HILL
11,13,FARMLAND
12,13,COASTAL_WATER
13,13,COASTAL_WATER
14,13,COASTAL_WATER
15,13,OCEAN
16,13,OCEAN
17,13,OCEAN
18,13,OCEAN
19,13,OCEAN
0,14,COASTAL_WATER
1,14,COASTAL_WATER
2,14,COASTAL_WATER
3,14,OCEAN
4,14,OCEAN
5,14,OCEAN
6,14,OCEAN
7,14,MOUNTAIN
8,14,MOUNTAIN
9,14,HILL
10,14,HILL
11,14,GRASSLAND
12,14,COASTAL_WATER
13,14,COASTAL_WATER
14,14,COASTAL_WATER
15,14,OCEAN
16,14,OCEAN
17,14,OCEAN
18,14,OCEAN
19,14,OCEAN
0,15,COASTAL_WATER
1,15,COASTAL_WATER
2,15,COASTAL_WATER
3,15,OCEAN
4,15,OCEAN
5,15,OCEAN
6,15,OCEAN
7,15,MOUNTAIN
8,15,MOUNTAIN
9,15,HILL
10,15,HILL
11,15,GRASSLAND
12,15,COASTAL_WATER
13,15,COASTAL_WATER
14,15,COASTAL_WATER
15,15,OCEAN
16,15,OCEAN
17,15,OCEAN
18,15,OCEAN
19,15,OCEAN
0,16,FARMLAND
1,16,OCEAN
2,16,OCEAN
3,16,OCEAN
4,16,OCEAN
5,16,OCEAN
6,16,OCEAN
7,16,COASTAL_WATER
8,16,COASTAL_WATER
9,16,COASTAL_WATER
10,16,COASTAL_WATER
11,16,OCEAN
12,16,OCEAN
13,16,OCEAN
14,16,OCEAN
15,16,OCEAN
16,16,OCEAN
17,16,OCEAN
18,16,OCEAN
19,16,OCEAN
0,17,FARMLAND
1,17,OCEAN
2,17,OCEAN
3,17,OCEAN
4,17,OCEAN
5,17,OCEAN
6,17,OCEAN
7,17,COASTAL_WATER
8,17,COASTAL_WATER
9,17,COASTAL_WATER
10,17,COASTAL_WATER
11,17,OCEAN
12,17,OCEAN
13,17,OCEAN
14,17,OCEAN
15,17,OCEAN
16,17,OCEAN
17,17,OCEAN
18,17,OCEAN
19,17,OCEAN
0,18,OCEAN
1,18,OCEAN
2,18,OCEAN
3,18,OCEAN
4,18,OCEAN
5,18,OCEAN
6,18,OCEAN
7,18,OCEAN
8,18,COASTAL_WATER
9,18,OCEAN
10,18,OCEAN
11,18,OCEAN
12,18,OCEAN
13,18,OCEAN
14,18,OCEAN
15,18,OCEAN
16,18,OCEAN
17,18,OCEAN
18,18,OCEAN
19,18,OCEAN
0,19,OCEAN
1,19,OCEAN
2,19,OCEAN
3,19,OCEAN
4,19,OCEAN
5,19,OCEAN
6,19,OCEAN
7,19,OCEAN
8,19,OCEAN
9,19,OCEAN
10,19,OCEAN
11,19,OCEAN
12,19,OCEAN
13,19,OCEAN
14,19,OCEAN
15,19,OCEAN
16,19,OCEAN
17,19,OCEAN
18,19,OCEAN
19,19,OCEAN
